index,cgpa,iq,placement
1,7.7,84,1
2,7.06,99,1
3,7.85,100,1
4,8.72,93,1
5,6.97,103,0
6,6.97,111,0
7,8.78,133,1
8,7.97,108,1
9,6.73,109,1
10,7.74,104,1
11,6.74,76,0
12,6.73,105,1
13,7.44,106,1
14,5.29,142,0
15,5.48,102,0
16,6.64,110,1
17,6.19,104,0
18,7.51,87,0
19,6.29,122,0
20,5.79,116,0
21,8.67,117,1
22,6.97,91,0
23,7.27,126,1
24,5.78,84,0
25,6.66,114,0
26,7.31,138,1
27,6.05,90,0
28,7.58,97,0
29,6.6,106,0
30,6.91,97,1
31,6.6,82,0
32,9.05,106,1
33,7.19,89,0
34,6.14,112,0
35,8.02,91,1
36,5.98,128,1
37,7.41,93,0
38,5.24,100,0
39,5.87,117,0
40,7.4,87,1
41,7.94,108,1
42,7.37,125,1
43,7.08,81,0
44,6.9,108,1
45,5.72,109,0
46,6.48,117,0
47,6.74,86,0
48,8.26,85,1
49,7.54,113,1
50,5.44,109,0
51,7.52,109,0
52,6.81,110,1
53,6.52,95,1
54,7.81,108,1
55,8.23,109,1
56,8.13,94,1
57,6.36,133,1
58,6.89,112,0
59,7.53,87,1
60,8.18,115,1
61,6.72,90,0
62,7.01,117,1
63,6.09,122,0
64,6.0,93,0
65,8.01,119,1
66,8.56,111,1
67,7.13,117,1
68,8.2,133,1
69,7.56,101,1
70,6.55,94,0
71,7.56,92,1
72,8.74,93,1
73,7.16,104,1
74,8.76,110,1
75,4.58,109,0
76,8.02,117,1
77,7.29,105,1
78,6.9,127,1
79,7.29,101,1
80,5.21,145,0
81,6.98,114,1
82,7.56,92,1
83,8.68,89,1
84,6.68,112,0
85,6.39,102,1
86,6.7,116,0
87,8.12,112,1
88,7.53,104,1
89,6.67,92,0
90,7.71,82,0
91,7.3,98,0
92,8.17,118,1
93,6.5,108,0
94,6.87,86,0
95,6.81,108,1
96,5.74,111,0
97,7.5,92,1
98,7.46,107,1
99,7.21,106,1
100,6.97,88,0
